Annual Total,Coal,Natural Gas,Aviation Gasoline,Distillate Fuel Oil,Hydrocarbon Gas Liquids,Jet Fuel,Kerosene,Lubricants,Motor Gasoline,Petroleum Coke,Residual Fuel Oil,Other Petroleum Products,Petroleum,Total Energy CO2 Emissions
1973,1206.274,1176.065,5.774,479.751,79.763,154.567,32.353,13.317,910.772,53.922,510.177,99.251,2339.646,4721.985
1974,1185.239,1135.379,5.663,457.353,76.778,144.807,26.383,12.754,892.087,49.372,477.017,98.396,2240.61,4561.227
1975,1180.733,1043.574,4.913,442.298,73.04,145.998,23.775,11.291,910.799,50.925,445.012,94.063,2202.115,4426.421
1976,1265.646,1063.896,4.667,487.363,75.247,144.494,25.386,12.543,954.766,50.384,507.689,102.076,2364.615,4694.157
1977,1299.545,1042.126,4.866,519.862,73.956,151.661,26.223,13.123,979.331,55.277,555.127,114.427,2493.853,4835.525
1978,1298.098,1046.3,4.944,532.291,71.387,154.323,26.256,14.093,1011.396,52.859,546.382,125.583,2539.512,4883.91
1979,1409.79,1081.593,4.865,513.489,82.075,157.163,28.112,14.746,959.903,50.87,510.879,133.141,2455.244,4946.627
1980,1435.2,1059.14,4.452,445.892,78.215,156.22,23.766,13.131,900.151,48.993,454.664,130.585,2256.069,4750.409
1981,1484.245,1033.148,3.893,438.809,78.112,147.043,18.984,12.593,898.917,51.971,377.408,82.173,2109.905,4627.298
1982,1432.231,961.888,3.25,414.322,79.475,147.751,19.254,11.484,892.329,51.198,310.275,70.703,2000.042,4394.16
1983,1487.528,902.019,3.298,417.47,73.78,152.661,19.003,12.024,903.641,47.249,256.843,95.139,1981.109,4370.655
1984,1597.944,963.24,3.036,442.684,80.037,172.068,17.295,12.822,913.858,51.25,248.212,93.714,2034.975,4596.159
1985,1637.136,927.467,3.482,445.143,82.091,177.921,17.042,11.949,930.237,54.635,217.332,82.646,2022.477,4587.08
1986,1617.302,868.757,4.077,452.316,79.216,191.015,14.702,11.684,958.368,55.451,256.408,89.023,2112.261,4598.319
1987,1690.785,923.92,3.158,461.992,81.034,202.397,14.15,13.209,981.755,61.734,228.574,93.754,2141.757,4756.461
1988,1774.678,965.362,3.39,486.567,84.217,212.285,14.431,12.738,1002.823,64.589,249.766,109.847,2240.654,4980.694
1989,1795.049,1028.009,3.293,490.704,82.849,217.716,12.608,13.065,999.941,63.53,247.694,108.722,2240.123,5067.911
1990,1821.142,1027.308,3.112,469.516,75.048,222.616,6.364,13.445,987.909,70.129,222.158,114.978,2185.276,5039.904
1991,1807.022,1049.073,2.887,453.997,80.496,215.183,6.928,12.028,982.255,67.99,209.336,99.807,2130.907,4994.607
1992,1822.982,1084.623,2.841,464.298,85.87,213.368,6.212,12.263,998.625,79.457,198.386,117.137,2178.456,5094.939
1993,1882.647,1111.331,2.657,472.719,86.324,215.112,7.426,12.487,1007.766,76.106,195.275,106.892,2182.765,5185.75
1994,1893.24,1136.951,2.639,491.138,90.324,223.789,7.324,13.052,1019.346,76.124,184.54,115.38,2223.656,5263.554
1995,1913.115,1185.835,2.739,498.031,90.153,222.076,8.087,12.828,1041.718,77.052,153.993,107.243,2213.919,5323.207
1996,1995.483,1207.144,2.585,524.099,97.109,232.081,9.263,12.449,1062.015,80.341,153.79,125.474,2299.206,5512.12
1997,2039.934,1214.178,2.747,533.572,95.277,234.486,9.858,13.151,1073.334,79.781,144.032,131.817,2318.055,5582.872
1998,2064.741,1193.089,2.456,537.364,86.031,237.932,11.68,13.767,1104.672,92.02,160.388,116.72,2363.03,5631.4
1999,2062.682,1197.609,2.71,554.549,101.86,245.374,10.914,13.911,1125.416,98.036,150.085,119.175,2422.031,5692.972
2000,2155.807,1246.173,2.511,579.461,106.262,253.779,10.113,13.703,1133.048,83.708,164.71,106.774,2454.068,5866.555
2001,2088.292,1192.707,2.417,597.205,96.12,242.837,10.825,12.555,1148.671,89.866,146.657,125.285,2472.439,5764.687
2002,2093.926,1231.363,2.334,586.221,97.728,236.765,6.485,12.406,1180.499,100.388,126.485,121.521,2470.832,5809.242
2003,2134.995,1196.331,2.091,609.715,95.576,231.459,8.174,11.469,1186.017,98.641,139.596,134.008,2516.746,5859.885
2004,2159.53,1201.329,2.162,631.705,96.371,239.757,9.651,11.62,1209.234,113.315,156.762,135.83,2606.406,5978.81
2005,2181.275,1183.406,2.447,639.242,91.947,246.294,10.446,11.559,1207.937,111.162,166.324,135.49,2622.847,5999.153
2006,2147.077,1170.626,2.314,645.322,86.345,239.534,8.033,11.262,1215.922,104.321,124.535,146.555,2584.142,5913.748
2007,2172.37,1245.859,2.186,647.345,89.906,237.99,4.809,11.63,1207.973,97.671,130.698,142.991,2573.198,6003.095
2008,2139.74,1255.229,1.957,609.861,88.869,226.311,2.135,10.797,1138.612,92.49,112.796,125.778,2409.606,5816.57
2009,1875.735,1233.512,1.838,554.955,86.297,204.369,2.626,9.707,1126.298,85.217,92.408,107.432,2271.146,5392.024
2010,1985.866,1291.546,1.871,582.506,84.601,210.011,2.982,10.785,1109.605,81.601,96.508,115.34,2295.811,5584.624
2011,1875.481,1311.422,1.872,592.242,78.845,209.086,1.832,10.233,1076.832,78.725,83.093,114.333,2247.093,5445.718
2012,1656.979,1371.561,1.738,569.058,75.786,205.656,0.792,9.415,1070.503,78.557,66.717,110.446,2188.668,5229.045
2013,1717.53,1409.354,1.547,573.137,85.244,210.414,0.778,9.961,1086.087,77.186,57.501,115.822,2217.678,5356.041
2014,1713.613,1439.526,1.501,605.681,86.208,215.626,1.346,10.391,1094.716,78.204,46.422,108.447,2248.542,5413.229
2015,1480.39,1482.984,1.463,598.041,86.536,227.114,0.956,11.316,1125.151,78.537,46.821,112.082,2288.016,5262.878
2016,1354.217,1493.981,1.416,575.559,83.237,237.442,1.301,10.742,1143.857,78.119,59.041,119.858,2310.574,5170.422
2017,1316.034,1475.041,1.449,583.597,85.852,246.761,0.775,9.903,1140.386,71.676,61.685,126.437,2328.522,5130.694
2018,1260.292,1635.522,1.549,618.105,97.291,250.405,0.81,9.61,1141.129,73.974,57.33,123.063,2373.264,5280.175
