"","X","type","Gwh"
"1","Alabama","hydropower_GWh",4102
"2","Alaska","hydropower_GWh",23675
"3","Arizona","hydropower_GWh",1303
"4","Arkansas","hydropower_GWh",6093
"5","California","hydropower_GWh",30023
"6","Colorado","hydropower_GWh",7789
"7","Connecticut","hydropower_GWh",922
"8","Delaware","hydropower_GWh",30
"9","District of Columbia","hydropower_GWh",0
"10","Florida","hydropower_GWh",682
"11","Georgia","hydropower_GWh",1988
"12","Hawaii","hydropower_GWh",2602
"13","Idaho","hydropower_GWh",18757
"14","Illinois","hydropower_GWh",4882
"15","Indiana","hydropower_GWh",2394
"16","Iowa","hydropower_GWh",2818
"17","Kansas","hydropower_GWh",2507
"18","Kentucky","hydropower_GWh",4255
"19","Louisiana","hydropower_GWh",2423
"20","Maine","hydropower_GWh",3916
"21","Maryland","hydropower_GWh",814
"22","Massachusetts","hydropower_GWh",1196
"23","Michigan","hydropower_GWh",1180
"24","Minnesota","hydropower_GWh",1254
"25","Mississippi","hydropower_GWh",2211
"26","Missouri","hydropower_GWh",7198
"27","Montana","hydropower_GWh",14546
"28","Nebraska","hydropower_GWh",3142
"29","Nevada","hydropower_GWh",845
"30","New Hampshire","hydropower_GWh",1740
"31","New Jersey","hydropower_GWh",549
"32","New Mexico","hydropower_GWh",1362
"33","New York","hydropower_GWh",6711
"34","North Carolina","hydropower_GWh",3036
"35","North Dakota","hydropower_GWh",347
"36","Ohio","hydropower_GWh",3045
"37","Oklahoma","hydropower_GWh",3015
"38","Oregon","hydropower_GWh",18184
"39","Pennsylvania","hydropower_GWh",8368
"40","Rhode Island","hydropower_GWh",59
"41","South Carolina","hydropower_GWh",1888
"42","South Dakota","hydropower_GWh",1047
"43","Tennessee","hydropower_GWh",5744
"44","Texas","hydropower_GWh",3006
"45","Utah","hydropower_GWh",3528
"46","Vermont","hydropower_GWh",1710
"47","Virginia","hydropower_GWh",3656
"48","Washington","hydropower_GWh",27248
"49","West Virginia","hydropower_GWh",4408
"50","Wisconsin","hydropower_GWh",2286
"51","Wyoming","hydropower_GWh",4445
"52","Alabama","EGSGeothermal_GW",67
"53","Alaska","EGSGeothermal_GW",NA
"54","Arizona","EGSGeothermal_GW",157
"55","Arkansas","EGSGeothermal_GW",79
"56","California","EGSGeothermal_GW",170
"57","Colorado","EGSGeothermal_GW",158
